name,acronym,address,city,state,phone,email,website,country,Affilated,Recorded By,Recorded Date
Boise Fencing Club,BoiseFC,"6149 W Corporal Lane Boise, ID 83704, US",Boise - ID,ID,(208) 373-1060,info@fencingboise.com,http://www.FencingBoise.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Boston College NCAA,BCNCAA,"140 Commonwealth Avenue Boston, MA 02467, US",Boston - MA,MA,(617) 775-1803,dorispib@bc.edu,https://bceagles.com/sports/fencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Boston Fencing Club,BostonFC,"100 Holton, Suite D Boston, MA 02476, US",Boston - MA,MA,(857) 204-5191,davidsach@bostonfencingclub.org,http://www.bostonfencingclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
"Bozeman Fencing Association, LLC",BozemanFA,"15 Tai Lane Bozeman, MT 59715, US",Bozeman - MT,MT,(406) 570-9887,michcarey2@gmail.com,http://www.bozemanfencingassociation.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Brandeis University NCAA,BrandeisNCAA,"415 South Street, Gosman Sports Center Waltham, MA 02453, US",Waltham - MA,MA,(631) 512-9549,jsalmon@brandeis.edu,http://Brandeisjudges.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Brazosport Fencing,Brazosport,"500 College Dr. Lake Jackson, TX 77566, US",Lake Jackson - TX,TX,(979) 848-7433,uaneill@gmail.com,https://www.facebook.com/BrazosportFencing/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bridgeport Fencers Club,BFC,"23612 Big Horn Walk, Unit 53 Valencia, CA 91354, US",Valencia - CA,CA,(907) 952-9970,bfinfo@bridgeportfencers.com,https://sites.google.com/bridgeportfencers.com/bridgeportfencersclub/home,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bronzeville Fencing Academy,Bronzeville,"5000 S Indiana Avenue - Lower Level Chicago, IL 60615, US",Chicago - IL,IL,(312) 852-0622,information@bfafencing.org,http://www.bfafencing.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Brooklyn Bridge Fencing Club,BBFC,"68 Jay Street, Suite #508 Brooklyn, NY 11201, US",Brooklyn - NY,NY,(646) 823-2529,info@brooklynbridgefencing.com,http://www.brooklynbridgefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Brooklyn Fencing Center,BrooklynFC,"528 5th Avenue, Brooklyn, NY 11215, US",Brooklyn - NY,NY,(718) 522-5822,info@brooklynfencing.com,http://www.brooklynfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Brown University,BrownUNCAA,"235 Hope Street Providence, RI 02912, US",Providence - RI,RI,(401) 863-1986,alexander_ripa@brown.edu,https://brownbears.com/index.aspx?path=fencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bryn Mawr College Fencing Club,BrynMawrFC,"101 N Merion Ave Bryn Mawr, PA 19010, US",Bryn Mawr - PA,PA,(917) 224-2863,tbarnoy@brynmawr.edu,http://fencing.blogs.brynmawr.edu/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Buccaneer Blades Fencing,BBF,"100 Mall Parkway, Suite 204 Wentzville, MO 63385, US",Wentzville - MO,MO,(314) 570-8037,coach@buccaneerbladesfencing.com,http://www.buccaneerbladesfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bucks County Academy Of Fencing,BCAF,"287 South Main Street, Suite #2 Lambertville, NJ 08530, US",Lambertville - NJ,NJ,(215) 862-6112,lisa@bcaf.com,http://www.bcaf.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bucks County Academy Of Fencing - West,BCAFWest,"1713 Bethlehem Pike Hatfield, PA 19440, US",Hatfield - PA,PA,(215) 862-6112,lisa@bcaf.com,http://www.bcaf.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cabrillo Academy Of The Sword LLC,Cabrillo,"Cabrillo Academy of the Sword, 3339 Adams Ave San Diego, CA 92116, US",San Diego - CA,CA,(619) 584-2478,cabrillosword@gmail.com,http://cabrillosword.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Caddo Magnet Fencing Club,CaddoMagnet,"1601 Viking Dr., . Shreveport, LA 71101, US",Shreveport - LA,LA,(318) 364-5055,jssullivan@caddoschools.org,http://www.magnetfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Caliburn Fencing Club,CaliburnFC,"3221 S. Delaware Ave Milwaukee, WI 53207, US",Milwaukee - WI,WI,(414) 801-6133,caliburnfencing@gmail.com,http://www.caliburnfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
California Fencing Academy,CalifFencing,"440 Marathon Drive Campbell, CA 95008, US",Campbell - CA,CA,(408) 865-1950,calsportsclub@yahoo.com,http://www.calfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cambridge Fencing Center,CambrdgeFCnt,"120 Vassar Street, MIT  Fencing Room(DuPont Building) Cambridge, MA 02139, US",Cambridge - MA,MA,(857) 205-0129,jarek@mit.edu,http://www.cambridgefencingcenter.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Candlewood Fencing Center,CandlewoodFC,"272 White St., B Danbury, CT 06810, US",Danbury - CT,CT,(203) 778-0808,candlewoodfencing@gmail.com,http://www.candlewoodfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cape Cod Fencers,CapeCod,"51 Cherry St. Hyannis, MA 02601, US",Hyannis - MA,MA,(508) 776-3620,capefencer@gmail.com,http://www.capecodfencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cape Fear Fencing Association,CapeFear,"405 Ann ST. Wilmington, NC 28401, US",Wilmington - NC,NC,(910) 297-4492,hsmithjr@ec.rr.com,http://www.capefearfencing.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Capital District Fencing School,CDFS,"1840 Van Vranken Avenue Schenectady, NY 12308, US",Schenectady - NY,NY,(518) 879-2716,cdfs@earthlink.net,http://www.fencingforall.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Capital Fencing Academy,CapitalFA,"12180 Nebel St North Bethesda, MD 20852, US",North Bethesda - MD,MD,(301) 291-5045,info@capfencing.com,http://www.capfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cardinal Fencing Academy,CardinalFA,"44900 Acacia LN, STE 108 Sterling, VA 20166, US",Sterling - VA,VA,(240) 424-0749,info@cardinalfencingacademy.com,https://www.cardinalfencingacademy.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cardinal Fencing Club,CardinalFC,"341 Galvez St. Stanford, CA 94305, US",Stanford - CA,CA,(650) 725-3601,cardinalfencingclub@gmail.com,http://www.cardinalfencingclub.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Carlisle Fencing Club,CarlisleFC,"131 Emerson Drive Carlisle, PA 17015, US",Carlisle - PA,PA,(717) 448-3670,aralvarez.alvarez@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cavalier Fencing Club,CFC,"141 Middlesex Turnpike Burlington, Massachusetts 01803, US",Burlington - Ma,Ma,(781) 317-1999,cavalierfencingclubinc@gmail.com,http://www.cavalierfencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Center for Blade Arts,BladeArts,"4744 Chicago Avenue Minneapolis, MN 55407, US",Minneapolis - MN,MN,(612) 501-0640,contact@centerforbladearts.com,http://www.centerforbladearts.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Central Arkansas Fencing Club,Ctrl. AR F.C.,"2200 Kavanaugh Blvd Little Rock, AR 72205, US",Little Rock - AR,AR,(501) 712-6338,brider@uca.edu,https://cafencing.squarespace.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Central Iowa Fencing Academy,CIFA,"3004 Maple Street West Des Moines, IA 50265, US",West Des Moines - IA,IA,(515) 885-5731,cifasteven@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Central Pennsylvania Fencing Association,CNPAFA,"1188 Dorum Ave State College, PA 16801, US",State College - PA,PA,(814) 880-6514,wxg4@psu.edu,http://www.centralpafencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Charlotte Fencing Academy,CharlotteFA,"1500 W Morehead St.  Suite H Charlotte, NC 28208, US",Charlotte - NC,NC,(980) 237-3762,bltoomey@charlottefencing.com,http://www.charlottefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Chesapeake Fencing Club,ChesapeakeFC,"8637 Loch Raven Boulevard Towson 21286, US",Towson 21286 - US,US,(410) 532-7445,info@chesapeakefencing.com,http://www.chesapeakefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Chevy Chase Fencing Club,ChevyChaseFC,"5601 Connecticut Ave NW Washington, DC 20015, US",Washington - DC,DC,(301) 774-7777,fencer@fencer.com,http://www.fencer.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Chicago Fencing Club,ChicagoFC,"7000 N Newark Ave, #256 Niles, IL 60714, US",Niles - IL,IL,(773) 234-6780,coach.d.unger@gmail.com,http://www.chicagofencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
City of Thunder FC,OKCFC,"24 NW 144th Circle, Ste A Oklahoma City 73013, US",Oklahoma City 73013 - US,US,(405) 474-7030,davidribaudo@gmail.com,http://www.cityofthunderfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Clemson University Fencing Club,ClemsonUFC,"110 Heisman Street Clemson, SC 29634, US",Clemson - SC,SC,(864) 934-9295,clemfen@g.clemson.edu,https://clemson.campuslabs.com/engage/organization/fencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cleveland Fencing Academy,CFA,"23408 Commerce Park Drive Beachwood, OH 44128, US",Beachwood - OH,OH,(440) 821-9711,info@clevelandfencingacademy.com,http://www.clevelandfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cleveland State Univ. NCAA,CleveStateU,"2451 Euclid Ave Cleveland, OH 44115, US",Cleveland - OH,OH,(440) 213-0765,c.tulleners@csuohio.edu,http://www.csuvikings.com/sports/c-fence/index,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cobra Fencing Club LLC,CobraFC,"313 YORK STREET JERSEY CITY, NJ 07302, US",JERSEY CITY - NJ,NJ,(201) 401-2501,steve@cobrafencing.com,http://www.cobrafencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
College of William & Mary Fencing Club,Will&MaryFC,"751 Ukrop Way Williamsburg, VA 23185, US",Williamsburg - VA,VA,(404) 697-9401,fencingwm@gmail.com,http://fencing.blogs.wm.edu/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Colorado Mesa University,COMesaU,"1100 North Ave Grand Junction, CO 81501, US",Grand Junction - CO,CO,(970) 242-2611,cwall@coloradomesa.edu,http://cmumavericks.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Colorado School of Mines,CSOM,"1500 Illinois Street Golden, CO 80401, US",Golden - CO,CO,None,jacobgolson@mines.edu,https://mines.campuslabs.com/engage/organization/fencing-colorado-school-of-mines,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Columbia Fencers' Club,ColumbiaFC,"Seven Oaks Park, 200 Leisure Lane Columbia, SC 29210, US",Columbia - SC,SC,(803) 781-0056,jrl5837@yahoo.com,http://www.columbiafc.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Columbia University NCAA,ColumbiaU,"3030 Broadway, Mail Code 1906 New York, NY 10027, US",New York - NY,NY,(212) 854-4040,ma3110@columbia.edu,https://gocolumbialions.com/index.aspx?path=FEN,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Columbus Fencing And Fitness LLC,CFAFLLC,"4150 Tuller Road, Suite 236 Dublin, OH 43017, US",Dublin - OH,OH,(614) 716-8531,slillard@614fencing.com,http://www.614fencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Columbus International Fencing Academy,CIFA,,,,None,,http://www.cbusfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Concord Fencing Club,ConcordFC,"18 Engel St Concord, NH 03301, US",Concord - NH,NH,(603) 224-3560,concordfencingclub@gmail.com,http://concordfencingclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
